Timestamp,ActionType,ActionDetail,TurnPhase,IsMyTurn,PlayerID,PlayerHP,PlayerCP,OpponentHP,OpponentCP,PlayerPosTokens,PlayerNegTokens,OppPosTokens,OppNegTokens,BoardDice,RollsLeft,HandSize,OpponentHandSize,CardsInHand
21-06-2026 14:11:31,InitialPhaseRoll,RollsLeft:3,OffensiveRollPhase,1,1,35,1,36,4,0,0,6,0,0|0|0|0|0,3,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:11:43,ActivateOffense,Spider Reflexes,OffensiveRollPhase,1,1,35,1,36,4,0,0,6,0,5|6|1|1|4,2,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:11:45,AutomaticSecondaryRoll,RollsLeft:1,OffensiveRollPhase,1,1,35,1,36,4,0,0,6,0,0|0|0|0|0,1,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:12:31,PassPriority,None,OffensiveRollPhase,0,2,36,4,35,1,6,0,0,0,5|6|1|1|4,2,4,5,Yibambe!|Twice as Wild!|Six It!|Samesies!
21-06-2026 14:12:37,PassPriority,None,OffensiveRollPhase,1,1,35,1,36,4,0,0,6,0,5|6|1|1|4,2,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:12:38,PassPriority,None,DefensiveRollPhase,0,2,36,4,35,1,6,0,0,0,0|0|0|0|0,1,4,5,Yibambe!|Twice as Wild!|Six It!|Samesies!
21-06-2026 14:12:38,PassPriority,None,DefensiveRollPhase,1,1,35,1,36,4,0,0,6,0,0|0|0|0|0,1,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:12:49,PassPriority,None,MainPhase2,1,1,35,1,26,4,0,0,7,0,0|0|0|0|0,0,5,4,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:12:51,PassPriority,None,MainPhase2,0,2,26,4,35,1,7,0,0,0,0|0|0|0|0,0,4,5,Yibambe!|Twice as Wild!|Six It!|Samesies!
21-06-2026 14:13:49,PassPriority,None,MainPhase1,1,2,26,5,35,1,7,0,0,0,0|0|0|0|0,0,5,5,Yibambe!|Twice as Wild!|Six It!|Samesies!|Vibin'!
21-06-2026 14:13:50,PassPriority,None,MainPhase1,0,1,35,1,26,5,0,0,7,0,0|0|0|0|0,0,5,5,Radioactive Blood!|Venom Punch II|Try; Try Again!|Yikes!|Better D!
21-06-2026 14:13:51,InitialPhaseRoll,RollsLeft:3,OffensiveRollPhase,1,2,26,5,35,1,7,0,0,0,0|0|0|0|0,3,5,5,Yibambe!|Twice as Wild!|Six It!|Samesies!|Vibin'!
21-06-2026 14:13:58,PhaseReroll,RollsLeft:2,OffensiveRollPhase,1,2,26,5,35,1,7,0,0,0,1|4|4|1|2,2,5,5,Yibambe!|Twice as Wild!|Six It!|Samesies!|Vibin'!
21-06-2026 14:14:14,PlayCard,Twice as Wild!,OffensiveRollPhase,1,2,26,5,35,1,7,0,0,0,1|3|6|1|4,1,5,5,Yibambe!|Twice as Wild!|Six It!|Samesies!|Vibin'!
21-06-2026 14:14:15,LockDie,DieIndex:1_Value:3,OffensiveRollPhase,1,2,26,2,35,1,7,0,0,0,1|3|6|1|4,1,4,5,Yibambe!|Six It!|Samesies!|Vibin'!
21-06-2026 14:14:16,UnlockDie,DieIndex:1_Value:3,OffensiveRollPhase,1,2,26,2,35,1,7,0,0,0,1|3|6|1|4,1,4,5,Yibambe!|Six It!|Samesies!|Vibin'!
